Day Scheduled_Flights Tracked_Flights 
2020-05-11 107 77
2020-05-12 104 75
2020-05-13 130 98
2020-05-14 135 100
2020-05-15 118 92
2020-05-16 114 89
2020-05-17 127 94
2020-05-18 121 85
2020-05-19 109 77
2020-05-20 125 87
2020-05-21 143 99
2020-05-22 119 86
2020-05-23 127 92
2020-05-24 140 86
2020-05-25 114 77
2020-05-26 105 75
2020-05-27 127 90
2020-05-28 140 104
2020-05-29 121 84
2020-05-30 125 85
2020-05-31 131 93
2020-06-01 134 96
2020-06-02 139 105
2020-06-03 150 111
2020-06-04 169 126
2020-06-05 163 129
2020-06-06 158 119
2020-06-07 164 125
2020-06-08 151 118
2020-06-09 147 121
