"DateTime","Scheduled flights","Tracked flights"
"2020-05-07",135,98
"2020-05-08",118,83
"2020-05-09",125,88
"2020-05-10",127,90
"2020-05-11",112,77
"2020-05-12",106,75
"2020-05-13",130,98
"2020-05-14",139,100
"2020-05-15",124,92
"2020-05-16",120,89
"2020-05-17",135,94
"2020-05-18",122,85
"2020-05-19",109,77
"2020-05-20",125,87
"2020-05-21",143,99
"2020-05-22",119,86
"2020-05-23",127,92
"2020-05-24",140,86
"2020-05-25",114,77
"2020-05-26",105,75
"2020-05-27",127,90
"2020-05-28",140,104
"2020-05-29",121,84
"2020-05-30",125,85
"2020-05-31",131,93
"2020-06-01",134,96
"2020-06-02",139,105
"2020-06-03",150,111
"2020-06-04",169,126
"2020-06-05",163,129
